disease,icd,count
otitis media,"['H66.93', 'A38.0', 'B05.3', 'H65.03', 'H65.23', 'H65.33', 'H65.413']",3
active rheumatoid arthritis,"['M05.9', 'M06.08', 'M06.00', 'M06.011', 'M06.012', 'M06.019', 'M06.021']",3
postmenopause,None,3
mitochondrial diseases,"['E88.40', 'E88.49', 'E88.43', 'G71.3']",3
respiratory syncytial virus infections,"['R09.2', 'A15.7', 'A15.8', 'A15.9', 'J98.9', 'R06.03', 'J12.1']",3
idiopathic parkinson disease,"['E20.0', 'I95.0', 'L50.1', 'D61.3', 'G24.2', 'G24.4', 'G60.3']",3
"infection, human immunodeficiency virus i",['Z21'],3
benign prostatic hypertrophy,"['J35.3', 'J35.1', 'J35.2', 'N28.81', 'N62', 'N85.2', 'J34.3']",3
extensive stage lung small cell carcinoma,"['D02.20', 'D02.21', 'D02.22']",3
immediate hypersensitivity,"['M31.0', 'M36.4', 'J39.3', 'J67.8', 'J67.9']",3
breast neoplasm,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",3
pheochromocytoma,None,3
stable angina,None,3
male hypogonadism,['G11.5'],3
"anemia, iron-deficiency","['D50.9', 'D50.0']",3
attention-deficit/hyperactivity disorder (adhd),"['F90.2', 'F90.8', 'F90.9', 'F90.0', 'F90.1']",3
post herpetic neuralgia,"['G50.0', 'M54.81', 'B02.22', 'M79.2']",3
hysterectomy,['N99.3'],3
detrusor overactivity,"['R46.3', 'E27.0']",3
stage iia pancreatic cancer,['C25.3'],3
"neoplasms, gastrointestinal tract","['A21.3', 'A22.2', 'B46.2', 'K92.2', 'K92.81', 'K91.0', 'P54.3']",3
cutaneous t-cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
chronic insomnia,"['F51.01', 'F51.02', 'F51.03', 'F51.04', 'G47.00', 'G47.09', 'A81.83']",3
apathy,['R45.3'],3
dual diagnosis,"['R03.0', 'Z71.1']",3
stage iva colon cancer,"['C18.2', 'C18.4', 'C18.6', 'C18.7', 'C18.9', 'D12.2', 'D12.3']",3
stage iva rectal cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",3
stage ivb colon cancer,"['C18.2', 'C18.4', 'C18.6', 'C18.7', 'C18.9', 'D12.2', 'D12.3']",3
stage ivb rectal cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",3
fap,None,3
new-onset type 1 diabetes mellitus,"['E23.2', 'N25.1', 'P70.2', 'O24.92', 'Z83.3', 'Z86.32', 'E10.65']",3
binge eating,"['F50.81', 'F50.02']",3
stage i multiple myeloma,"['C90.01', 'C90.02', 'C90.00']",3
stage ii multiple myeloma,"['C90.01', 'C90.02', 'C90.00']",3
stage iii multiple myeloma,"['C90.01', 'C90.02', 'C90.00']",3
palliative care,['Z51.5'],3
postmenopausal symptoms,"['N95.0', 'N95.2']",3
rhinoconjunctivitis,None,3
"liver cirrhosis, biliary","['Z52.6', 'K71.8', 'K71.7', 'A06.4', 'C22.0', 'C22.3', 'K70.0']",3
premature ejaculation,['F52.4'],3
mental disorder,"['F48.9', 'F99', 'F51.05', 'F51.13', 'F09', 'F06.8', 'F48.8']",3
dyssomnias,None,3
"leukemia, myeloid","['C92.Z1', 'C92.Z2', 'C92.91', 'C92.92', 'C92.Z0', 'C92.90', 'C92.11']",3
peanut hypersensitivity,"['M31.0', 'M36.4', 'J39.3', 'J67.8', 'J67.9']",3
"surgical procedures, operative","['O75.4', 'T81.89XS', 'T81.89XA', 'T81.89XD', 'P00.7', 'Z41.8', 'O35.7XX1']",3
uterine cancer,"['C57.4', 'D28.2']",3
"transplant; failure, kidney",['T86.12'],3
lymphedema,"['Q82.0', 'I97.2', 'I89.0']",3
becker muscular dystrophy,['G71.01'],3
myelodysplasia,None,3
tobacco use cessation,"['Y36.881S', 'Y36.891S', 'Y36.880S', 'Y36.881A', 'Y36.881D', 'Y36.890S', 'Y36.891A']",3
peripheral arterial occlusive disease,"['A18.2', 'H11.043', 'H11.053', 'H18.463', 'H35.40', 'H81.393', 'I73.9']",3
premenstrual syndrome,['N94.3'],3
arthralgia,"['M26.621', 'M26.622', 'M26.623', 'M26.629']",3
stomach neoplasms,"['D13.1', 'C16.9', 'C16.1', 'C16.2', 'D37.1', 'C16.8', 'C16.5']",3
dopamine beta hydroxylase deficiency,"['D81.810', 'E53.0', 'E53.1', 'E61.0', 'E61.1', 'E61.2', 'E61.3']",3
familial adenomatous polyposis,['D13.91'],3
secondary progressive multiple sclerosis,"['A81.2', 'G12.22', 'G60.3', 'I67.3', 'M34.0', 'Q78.3', 'G12.25']",3
vascular diseases,"['I73.9', 'D57.03', 'D57.213', 'G46.8', 'I73.89']",3
urge incontinence,['N39.41'],3
hepatoma,None,3
"malaria, falciparum","['P37.3', 'B50.9', 'B50.0', 'B50.8']",3
moderate to severe psoriasis,"['L40.0', 'L40.4', 'L40.8', 'L40.9', 'L40.1', 'L40.50']",3
hcv,None,3
tinnitus,"['H93.13', 'H93.11', 'H93.12', 'H93.19', 'H93.A3', 'H93.A1', 'H93.A2']",3
"tuberculosis, pulmonary","['A18.39', 'P37.0', 'Z22.7', 'A15.0', 'A15.7', 'A15.8', 'A15.9']",3
stage iiib lung non-small cell cancer ajcc v7,"['C96.20', 'C96.29', 'D47.09']",3
in vitro fertilization,['N98.2'],3
nasopharyngeal cancer,"['A36.1', 'B87.3']",3
secondary hypogonadism,['G11.5'],3
"pneumonia, bacterial","['J15.9', 'P23.6']",3
postoperative ileus,None,3
lupus,"['D68.62', 'L93.0', 'L93.1', 'L93.2', 'M32.9', 'M32.0', 'M32.11']",3
primary central nervous system lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
vitreous hemorrhage,"['H43.13', 'H43.10', 'H43.11', 'H43.12']",3
stress urinary incontinence,"['N39.41', 'N39.46', 'N39.490', 'N39.491', 'N39.492', 'R32', 'R39.81']",3
restless legs syndrome (rls),"['G25.81', 'R45.1']",3
adenomatous polyp,"['D13.91', 'Z83.710']",3
recurrent chronic lymphocytic leukemia,"['A87.2', 'K52.832', 'D72.111', 'C91.11', 'C91.12', 'C91.10']",3
prematurity,"['P61.2', 'H35.103', 'H35.101', 'H35.102', 'H35.109', 'H35.113', 'H35.123']",3
moderate to severe glabellar frown lines,"['F71', 'N87.1', 'N89.1', 'N90.1', 'E44.0', 'J45.40', 'K05.212']",3
male breast carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",3
stage iiia breast cancer ajcc v7,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",3
b-cell chronic lymphocytic leukemia,"['C91.11', 'C91.12', 'C91.10']",3
carcinoid syndrome,['E34.0'],3
acute renal failure,"['N25.0', 'Q61.4', 'N23', 'N26.9', 'P96.0', 'Q60.0', 'Q60.1']",3
accelerated phase chronic myelogenous leukemia,"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",3
de novo myelodysplastic syndromes,"['D46.Z', 'D46.9', 'C94.6', 'D46.C']",3
noncontiguous stage ii adult diffuse large cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
noncontiguous stage ii adult diffuse mixed cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
noncontiguous stage ii adult diffuse small cleaved cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
noncontiguous stage ii adult immunoblastic large cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
noncontiguous stage ii adult lymphoblastic lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
noncontiguous stage ii grade 1 follicular lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
noncontiguous stage ii grade 2 follicular lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
noncontiguous stage ii grade 3 follicular lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
noncontiguous stage ii mantle cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
noncontiguous stage ii marginal zone lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
noncontiguous stage ii small lymphocytic lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
recurrent ovarian germ cell tumor,"['G47.13', 'J01.41', 'K11.22', 'K12.0', 'N96', 'F33.8', 'G03.2']",3
relapsing chronic myelogenous leukemia,"['M94.1', 'A68.9', 'A68.0', 'A68.1', 'M35.6']",3
stage iii adult immunoblastic large cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
stage iv adult immunoblastic large cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
stage iv ovarian epithelial cancer,"['H18.523', 'H18.521', 'H18.522', 'H18.529']",3
"influenza, human","['J11.81', 'J11.82', 'J10.01', 'J10.81', 'J10.82', 'J11.08', 'J11.2']",3
metastatic non-small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",3
spinal stenosis,"['M48.00', 'M48.02', 'M48.03', 'M48.04', 'M48.05', 'M48.07', 'M48.01']",3
scar reduction,"['Q04.3', 'Q71.40', 'Q71.41', 'Q71.42', 'Q71.43', 'Q71.50', 'Q71.51']",3
atrophic vaginitis,['N95.2'],3
coronary artery bypass,"['T82.212S', 'T82.213S', 'T82.211S', 'T82.212A', 'T82.212D', 'T82.213A', 'T82.213D']",3
induction of labor,"['O61.0', 'O61.1', 'O61.8', 'O61.9']",3
bile duct cancer,"['C24.0', 'C78.7', 'D13.5', 'D37.6']",3
hyperalgesia,None,3
polymyalgia rheumatica,"['M35.3', 'M31.5']",3
asperger's disorder,['F84.5'],3
weight loss,['R63.4'],3
ductal carcinoma in situ,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",3
triple-negative breast carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",3
spinal cord diseases,"['G95.9', 'G32.0', 'G95.89']",3
urge urinary incontinence,"['N39.41', 'N39.46', 'N39.490', 'N39.491', 'N39.492', 'R32', 'R39.81']",3
ds stage ii plasma cell myeloma,None,3
extensive stage small cell lung carcinoma,"['D02.20', 'D02.21', 'D02.22']",3
recurrent small cell lung carcinoma,"['D02.20', 'D02.21', 'D02.22']",3
stage iii squamous cell carcinoma of the hypopharynx,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
stage iii squamous cell carcinoma of the larynx,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
stage iii squamous cell carcinoma of the lip and oral cavity,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
stage iv squamous cell carcinoma of the nasopharynx,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
stage iv squamous cell carcinoma of the oropharynx,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
interstitial cystitis,"['N30.10', 'N30.11']",3
pediculosis,"['B85.2', 'B85.4', 'B85.0', 'B85.1', 'Z20.7']",3
glucose metabolism disorders,"['E70.5', 'E71.32', 'E72.4', 'E76.9', 'E78.89', 'E83.2', 'E88.40']",3
pediatric cancer,"['R63.31', 'R63.32', 'G47.33', 'Z71.87', 'Z68.51', 'Z68.54', 'Z68.52']",3
metastatic bladder urothelial carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",3
metastatic ureter urothelial carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",3
metastatic urothelial carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",3
stage iv prostate cancer ajcc v7,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",3
catheter-related infections,"['T80.211S', 'T80.212S', 'T80.218S', 'T80.219S', 'T80.211A', 'T80.211D', 'T80.212A']",3
irritable bowel syndrome characterized by constipation,"['B09', 'B08.8']",3
malnutrition,"['O25.2', 'E44.0', 'E44.1', 'E46', 'O25.3', 'E43', 'E64.0']",3
fallopian tube undifferentiated carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",3
ovarian seromucinous carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",3
ovarian undifferentiated carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",3
chemotherapy-induced nausea and vomiting (cinv),['D61.810'],3
large cell lung carcinoma,"['D02.20', 'D02.21', 'D02.22']",3
lung adenocarcinoma,"['D02.20', 'D02.21', 'D02.22']",3
thymoma,None,3
recurrent gastric cancer,"['G47.13', 'J01.41', 'K11.22', 'K12.0', 'N96', 'F33.8', 'G03.2']",3
deep vein thrombosis (dvt),"['I81', 'K64.5', 'I51.3', 'I67.6', 'I74.11', 'I74.5', 'I74.8']",3
impetigo,"['L01.00', 'L01.02', 'L01.03', 'L01.09', 'L01.01']",3
phenylketonuria,['E70.0'],3
juvenile idiopathic arthritis,"['E20.0', 'I95.0', 'L50.1', 'D61.3', 'G24.2', 'G24.4', 'G60.3']",3
immune thrombocytopenic purpura,['D69.3'],3
lumbar spinal stenosis,"['M48.061', 'M48.062']",3
cystinosis,['E72.04'],3
autoimmune diseases,"['E06.3', 'E20.812', 'K75.4', 'E31.0', 'D59.10', 'D59.11', 'D59.12']",3
degenerative disc disease,"['H44.23', 'H44.20', 'H44.21', 'H44.22', 'H35.363', 'H44.30', 'G23.9']",3
acute biphenotypic leukemia,"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",3
recurrent follicular lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
substance use disorders,"['F19.94', 'F19.980', 'F19.982', 'F19.988', 'F19.99', 'F19.959', 'F19.96']",3
post-herpetic neuralgia,"['G50.0', 'M54.81', 'B02.22', 'M79.2']",3
adult nasal type extranodal nk/t-cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
contiguous stage ii adult burkitt lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
recurrent adult t-cell leukemia/lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
waldenström macroglobulinemia,['C88.0'],3
immune system diseases,None,3
chemotherapeutic agent toxicity,None,3
motivation,None,3
hyperhidrosis,"['R61', 'L74.52', 'L74.510', 'L74.511', 'L74.512', 'L74.513', 'L74.519']",3
invasive breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",3
primary sclerosing cholangitis,['K83.01'],3
clostridium difficile,"['A04.71', 'A04.72']",3
thrombocytopaenia,None,3
mdd,None,3
bronchiolitis obliterans,['J44.81'],3
mrsa,None,3
severe hemophilia a,"['D68.311', 'Z14.01', 'Z14.02']",3
opioid related disorders,"['F20.81', 'F21', 'F34.0', 'F34.1', 'F42.3', 'F45.0', 'F51.5']",3
progesterone receptor-positive breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",3
breast tumors,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",3
diabetic nephropathies,"['H35.23', 'Z86.31', 'E10.21', 'E10.36', 'E10.41', 'E10.42', 'E10.44']",3
"malaria, vivax","['B51.9', 'B51.8', 'B51.0']",3
end stage renal disease (esrd),"['N25.0', 'Q61.4', 'N23', 'N26.9', 'P96.0', 'Q60.0', 'Q60.1']",3
amyotrophic lateral sclerosis (als),['G12.21'],3
disorder of glucose regulation,"['P81.9', 'P81.8']",3
radiation-induced dermatitis,['G62.82'],3
muscle spasticity,None,3
stage iv esophageal cancer,"['K22.2', 'K22.81', 'Q39.4', 'P78.83', 'I85.00', 'I85.01', 'I85.10']",3
muscular dystrophies,['G71.09'],3
stage iv hypopharyngeal squamous cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
stage iva laryngeal squamous cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
stage iva laryngeal verrucous carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",3
stage iva nasal cavity and paranasal sinus squamous cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
stage iva oral cavity verrucous carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",3
stage ivb lip and oral cavity squamous cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
stage ivb nasal cavity and paranasal sinus squamous cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
stage ivc lip and oral cavity squamous cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
stage ivc nasal cavity and paranasal sinus squamous cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
advanced cancers,"['K74.02', 'G47.22', 'H35.3133', 'H35.3134', 'H35.3113', 'H35.3114', 'H35.3123']",3
opioid withdrawal,"['F11.13', 'F11.23', 'F11.93']",3
hiv dementia,"['B20', 'Z71.7', 'Z29.81', 'O98.72', 'Z21', 'O98.73', 'R75']",3
nonalcoholic steatohepatitis (nash),['K75.81'],3
inflammatory response,"['P02.70', 'R65.10', 'R65.11']",3
acute ischemic stroke,"['I25.5', 'H47.013', 'H93.013', 'G45.9', 'H47.011', 'H47.012', 'H47.019']",3
ibd,None,3
colitis,"['K52.3', 'K52.82', 'K52.831', 'K52.832', 'A06.2', 'K52.838', 'K52.839']",3
impaired fasting glucose,['R73.01'],3
gynecologic cancer,"['Y76.0', 'Y76.1', 'Y76.2', 'Y76.3', 'Y76.8', 'Z01.411', 'Z01.419']",3
acute schizophrenia,"['F20.0', 'F20.1', 'F20.2', 'F20.3', 'F20.5', 'F20.89', 'F20.9']",3
glucose intolerance,"['E73.8', 'E73.9', 'E74.12', 'K90.49']",3
cutaneous b-cell non-hodgkin lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
intraocular lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
testicular lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",3
psychosis,"['F53.1', 'F29']",3
human immunodeficiency virus (hiv),"['B20', 'Z71.7', 'O98.72', 'Z21', 'O98.73', 'R75', 'Z11.4']",3
other acute postoperative pain,None,3
stage iiia melanoma,"['C43.0', 'C43.31', 'D03.9', 'C43.51', 'C43.9', 'D03.0', 'C43.4']",3
stable coronary artery disease,"['I25.84', 'I25.41', 'I25.42', 'Z98.61', 'I24.81', 'I25.85', 'Q24.5']",3
moderate to severe plaque-type psoriasis,"['L40.0', 'L40.4', 'L40.8', 'L40.9', 'L40.1', 'L40.50']",3
cytomegalovirus infection,['P35.1'],3
neurogenic detrusor overactivity,"['R46.3', 'E27.0']",3
venous thromboembolism (vte),"['O88.22', 'O88.23', 'O88.211', 'O88.212', 'O88.213', 'O88.219']",3
hemorrhage,"['K94.01', 'K94.11', 'K94.21', 'K94.31', 'N99.510', 'H11.33', 'H35.63']",3
iron overload due to repeated red blood cell transfusions,"['F40.231', 'E83.111']",3
hypercholesterolaemia,None,3
gastrointestinal neoplasms,"['C49.A0', 'C49.A1', 'C49.A2', 'C49.A5', 'C49.A3', 'C49.A4', 'C49.A9']",3
relapsing-remitting multiple sclerosis (rrms),"['G35', 'G93.81', 'K74.1', 'Q85.1', 'G12.21', 'G12.23', 'M34.0']",3
healthy volunteer,['Y99.2'],3
disorder related to lung transplantation,['M31.11'],3
recurrent pancreatic carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",3
advanced renal cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
mood,"['O90.6', 'F34.81', 'F39', 'F34.89', 'F34.9', 'F43.21', 'F01.A3']",3
compensated cirrhosis,"['K74.3', 'K74.4', 'K74.5', 'K74.60', 'K74.69', 'P78.81', 'K70.30']",3
pantothenate kinase-associated neurodegeneration,None,3
surgical conditions,"['A51.49', 'D69.8', 'J94.8', 'L53.8', 'M27.2', 'G47.54', 'H44.50']",3
stage i oropharyngeal squamous cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
stage ii oropharyngeal squamous cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
acute upper respiratory tract infections,"['R09.2', 'A15.7', 'A15.8', 'A15.9', 'J98.9', 'R06.03', 'J12.1']",3
postoperative nausea,None,3
non-small cell lung cancer stage iv,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",3
chronic kidney disease (ckd),"['N26.2', 'Q63.0', 'Q63.2', 'Z52.4', 'I75.81', 'N19', 'N20.0']",3
non-alcoholic fatty liver disease (nafld),"['Z52.6', 'K71.8', 'K71.7', 'A06.4', 'C22.0', 'C22.3', 'K70.0']",3
gastrinoma,None,3
glucagonoma,None,3
insulinoma,None,3
pancreatic polypeptide tumor,"['K90.3', 'K86.81', 'Q45.2', 'C25.3', 'E16.9', 'E16.8', 'Q45.3']",3
recurrent islet cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
somatostatinoma,None,3
percutaneous coronary intervention,"['Y35.312S', 'Y35.313S', 'Y35.412S', 'Y35.413S', 'Y35.812S', 'Y35.813S', 'Y35.92XS']",3
differentiated thyroid cancer,"['C73', 'D34', 'D44.0', 'Z85.850']",3
food allergy,"['Z91.02', 'Z91.018']",3
lobular breast carcinoma in situ,"['D05.00', 'D05.01', 'D05.02']",3
adult acute megakaryoblastic leukemia (m7),"['C94.21', 'C94.22', 'C94.20']",3
adult acute minimally differentiated myeloid leukemia (m0),['C7A.1'],3
adult acute monoblastic leukemia (m5a),"['C93.01', 'C93.02', 'C93.00']",3
adult acute monocytic leukemia (m5b),"['C93.Z1', 'C93.Z2', 'C93.91', 'C93.92', 'C93.01', 'C93.02', 'C93.Z0']",3
adult acute myeloblastic leukemia with maturation (m2),"['C92.01', 'C92.02', 'C92.00']",3
adult acute myeloblastic leukemia without maturation (m1),"['C92.01', 'C92.02', 'C92.00']",3
adult acute myelomonocytic leukemia (m4),"['C92.51', 'C92.52', 'C93.11', 'C93.12', 'C93.31', 'C93.32', 'C92.50']",3
adult erythroleukemia (m6a),None,3
adult pure erythroid leukemia (m6b),"['C94.01', 'C94.02', 'C94.00']",3
post-traumatic headache,"['G44.301', 'G44.311', 'G44.321', 'G44.309', 'G44.319', 'G44.329']",3
colorectal adenocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",3
breast cancer metastatic,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",3
urinary bladder overactive,['N32.81'],3
gastroesophageal reflux disease (gerd),"['K22.6', 'K21.9', 'K21.00', 'K21.01']",3
urticaria,"['L50.0', 'L50.1', 'L50.3', 'L50.4', 'L50.5', 'L50.6', 'L50.8']",3
cardiac failure,"['P29.0', 'I97.130', 'O29.121', 'O29.122', 'O29.123', 'O29.129']",3
constipation predominant irritable bowel syndrome,"['K59.00', 'K59.09', 'K59.01', 'K59.02', 'K59.03', 'K59.04', 'K58.1']",3
metastasis,None,3
stage iv cutaneous melanoma ajcc v6 and v7,"['A06.7', 'A22.0', 'A26.0', 'A32.0', 'A36.3', 'A43.1', 'B38.3']",3
paraganglioma,None,3
alzheimers disease,None,3
hepatic impairment,"['Z73.82', 'M10.38', 'M10.30', 'M10.311', 'M10.312', 'M10.319', 'M10.321']",3
acute decompensated heart failure,None,3
sleep disordered breathing,"['R06.3', 'R06.5', 'G47.32', 'R06.89', 'R06.9', 'R07.1', 'T71.191S']",3
stage iva squamous cell carcinoma of the oropharynx,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",3
atopic dermatitis (ad),"['L56.2', 'B65.3', 'L13.0', 'L22', 'L26', 'L30.0', 'L30.3']",3
ponv,None,3
chronic thromboembolic pulmonary hypertension,['I27.24'],3
persistent asthma,"['J45.30', 'J45.40', 'J45.50', 'J45.31', 'J45.32', 'J45.41', 'J45.42']",3
bacterial infections,"['A49.9', 'A04.9', 'A04.8', 'A49.8']",3
neck pain,None,3
iga nephropathy,"['N14.0', 'N15.0', 'N14.11', 'A36.84', 'B58.83', 'B52.0', 'N13.71']",3
pain associated with fibromyalgia,['M79.7'],3
primary sjögren's syndrome,"['D68.61', 'D69.41', 'D81.4', 'E24.1', 'E26.01', 'E26.81', 'E34.0']",3
renal cancer,"['C65.1', 'C65.2', 'C65.9', 'D30.10', 'D30.11', 'D30.12', 'C64.1']",3
aggressive periodontitis,"['K05.20', 'K05.211', 'K05.212', 'K05.213', 'K05.221', 'K05.222', 'K05.223']",3
sly syndrome,"['D68.61', 'D69.41', 'D81.4', 'E24.1', 'E26.01', 'E26.81', 'E34.0']",3
mucopolysaccharidosis,"['E76.3', 'E76.1']",3
mps vii,None,3
chronic obstructive pulmonary disease copd,"['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",3
