reason,label
"1st two cohorts provided the required data, therefore 3rd cohort was not deemed necessary",2
political issues in algeria and now covod-19 lock-down,4
the team has changed. the new team did not have the perosnnel to set up the study,1
study has been terminated,3
principal investigator is taking appointment with another institution,1
study was not opened at site,1
"as part of a portfolio-level management of the company's oncology pipeline, it was decided to stop the next phase of internal development of the metap2 (m8891) program to enable realization of other opportunities within the oncology portfolio",4
updated results by guidelines and bibliography,4
"tech changes made it impossible to consent patients. not a flaw in design, practice changes caused the study end",4
terminated due to nonclinical findings,3
not accepted,4
the study stopped because the study period already ended,4
terminated based on interim review,2
decision not to pursue,4
no regulatory approval,4
no trained/ qualified staff available to perform study,1
due to issues with study design,4
staff not available to commence study,1
necessary equipment could not be provided,4
extensive protocol revisions initiated,4
fda removal of drug from the market due to cancer risks,3
capacity problems,1
the factors influencing the results of the study have changed,4
inability to promptly see local allergists as part of medical maximization which lead to delays in care for these patients,1
no relevant anymore,4
increase mortality rate in cases that made it difficult to folpoor up,3
stop of drug development,4
"sufficient acquisitions for dce-mri and 4d fpoor, but not for t1/t2-mapping due to poor ilt in some participants",4
prematurely terminated due to poor therapeutic effect,2
positive results at interim analysis,4
major changes to study that were better suited to creating a whole new study,4
investigational device no longer has health canada approval,4
pi on an extended leave of absence,4
protocol modification is pending,4
study not irb approved,4
"it was felt by the sponsoring institution that the current standard of oversight expected by the health canada regulations, would not be possible to achieve",4
research cancelled because of inadequate staffing,4
this was an exploratory open-label study and has met its initial objectives,4
no resources,4
recuitment to poor,1
samus therapeutics closure,4
reformulation of study drug to help reduce the pill burden as higher doses are evaluated,4
no longer priority in the research group,4
high drop out rate due to subjects needing to record details of every meal,4
study design modified to collect specimens from a bank requiring a separate irb-approved protocol,4
investigator decision to close study,4
on hold by sponsor,4
investigator wish,4
at interim analysis insufficient benefit was observed to continu the study,2
problem of investigational products,4
more than 100 invasive and non-invasive qpqs data were collected,4
change in research site,4
results obtained on the first 8 patients shown an expected glandular membrane specific labeling associated with non-specific labeling of fibro-muscular tissue,4
study team did not respond to requests for continuing review approval,4
irb application expired,4
long local irb process to meet with the treatment deadline,4
pi dropped the study,4
one of the key physicians is leaving the institution and other delays have put us behind our timeline. we do not intend to proceed with the trial at this time,4
first required to complete a proof of principle study for a new outcome measure,4
staff no longer available,4
unconfirmed research expenses,4
pci decision due to technical issues,4
chu lyon will join as a participating center (and as national french coordinator) as a part of the bev-ip study ongoing study eudract-number 2014-004257-14,4
active circulation of dengue virus in the region of the study that may affect the result of zika serology,3
"alternative method of implementation, study not needed",4
the main reason for trial discontinuation was the inability to address the primary objectives of the study folpooring an extended gap between the second and third doses,4
the device that was going to be studied was removed by duke university shortly after the study was approved,4
pi transferred to another institution,4
study was complete,4
"inability to accrue subjects that met the exclusion criterion ""any prior (within the past 30 days) or current sodium thiosulfate treatment""",1
it was decided to use the qrh for a new study,4
only the first part of the study was done,4
this study is withdrawn due to feasibility issues,4
project adjustment,4
sponsor declined to fund,4
change in clinical development plan,4
the study was discontinued after the first pre-planned interim analysis due to insufficient response rates,2
insufficient fund,4
standards of care changed at the institution so that pec procedures were no longer common or preferred as a method of pain control for breast surgery,4
co-pi albert chang relocating to ucla. ind will transfer to ucla. ucsf will not participate,4
the target population with available genotype traveled outside study area and study duration of 19 weeks was long for some participants,1
technical difficulty and feasibility issues,4
sponsor assessed all endpoints and collected overall survival data for another two years folpooring the primary completion date of 03feb2021,4
inadequate resources to complete the study,4
"myriad has sufficient data to do an analysis on the primary objective, durability, and has made the decision not to continue collecting data for the other study objectives",4
pis not interested in continuing with the trial,4
beigene has withdrawn their support owing to sitravatinib supply concerns. mirati is ceasing further development of sitravatinib owing to the negative results of the sapphire trial which used sitravatinib in 2nd line met nsclc setting,4
ongoing insights required a different approach,4
reliable and consistent method of uv tattoo application was not able to be achieved,4
unable to recuit participant number in time,1
pi withdrew study,4
due to issues arised from the collaboration contract between sponsor and research site,4
stopped due to inactivity,4
reaching total sample size was not feasible within the anticipated time frame,1
"study never started, change in company focus on us",4
time restrictions on leading investigator,4
study classed as ctimp,4
compelling insights impacting the scientific rationale,4
study will be closed in thailand and opened in the usa,4
device recalled by the manufacturer,3
the study has been stopped because no one is,4
msd would not able to support the study's continuation after protocol modifications required by ansm through dose de-escalation of pembrolizumab,4
poor community engagement,1
the surgical team has difficulty to find level 1 and 2 fusions for the study,4
study canceled before starting,4
high cancellation rate in lh test group in interim analysis,2
"due to the poor application materials, the normal research can not be carried out for the time being",4
"poor materials, not moving forward",4
the principal investigator dr.yinli is working in other hospital,4
drug development suspended by current holder of ind,4
corporate finances,4
very important delay in the pace of inclusions. likely overestimation of the potential for inclusion. poor involvement of some health professionals,4
could not get an approval from department reviewer for the study continuation,4
no availability of investigational medication,4
"study suspended in october 2017 and terminated april 17, 2018 after decision to discontinue the study drug development",4
the delay between diagnosis and initiation of treatment was no longer consistent with standard of care,4
decision of ip support organization,4
cannot perform the study due to practical issues,4
study team has decided to focus on other projects,4
institution problem,4
investigator leave of absence,4
interim analysis to assess concern for spinal anesthesia and increased cesarean delivery rate,2
decision from the sponsor,4
blood withdrawal problems despite use of different catheters,3
device was fda approved before feasibility study could be performed,4
internal decision made by norbert health,4
not sufficiently staff available to perform trial,1
funds ended,4
inability of the etolya®'s manufacturer to furnish the promised functionalities as those which had to be recorded for assessment of the study's end points,4
local ethics committee concern,4
multidisciplinary participation could not be overcome,4
high number of false negatives,2
departmental research hold,4
the study has been put on hold while pending cms approval,4
(investigation of ace-083 for use in patients with cmt is being discontinued as it did not achieve functional secondary endpoints in the a083-03 trial,2
study requires medicines control council approval,4
study stopping rules were met,3
study do not start due to concurrential trial,4
terminated per the pi's request,4
irb recommendation,4
because the principal investigator has moved to another hospital,4
sponsor issue,4
data was not sufficiently complete and reliable for analysis (retrospective chart research),4
"after an interim analysis, it was decided to discontinue the study after a stochastic curtailment analysis",2
no fundng was provided by the financial agency,4
study was dropped at site before participation,4
pi transferred,4
target population is insufficient,1
the study was terminated by sponsor for reasons of adjusted clinical development strategy,4
pi departure - study not conducted,4
technical problems in equipment,4
competing clinical trial priorities,4
reb approval denied,4
decided not to move forward,4
company no longer interested in supporting this trial,4
no longer rct - same surgical technique and implant used,4
no interesting results,4
change in location of pulmonary rehab at our institution,4
principal investigator is leaving university and halting studies,4
researcher left,4
vaccine manufacturing has been suspended,4
suggestion of an accentuation of the bias of overestimating the silhouette in one of the avatar exposure modalities in virtual reality,4
investigator no longer actively pursuing this study,4
poor response to study therapy,2
study early terminated due to poorer drug exposure,2
idmc recommendation. unexpectedly high use of concomitant corticosteroid treatment,3
delay in the r & d stage,4
insufficient number of subjects,1
publication of better study,4
"new study type, it will be re-organized as an investigator initiated study (iis)",4
termination of zandelisib clinical development globally,4
the company that provided the intervention shut down & withdrew the intervention,4
"phase i response to treatment was not as expected and the myeloma field in treatment has changed since initiating the study, so investigators felt the study should not be pursued into phase ii",2
product manufacturing issues,4
study halted prematurely prior to initiation but potentially will resume in the future,4
intervention never conducted,4
failure to obtain hgr approval,4
study terminated due to project timelines,4
project termination,4
technique failed,4
no zika cases at study site,4
evaluation halted,4
unable to obtain intervention materials,4
study closed due to device design modifications,4
change in treatment priorities for these disease types as well as staffing concerns,4
concerns about possible association between drug and increased icu mortality,3
hard to get an informed concent because of small number of indiaiton of surgery,1
determined not to be human subjects research,4
the study aim was not relevant anymore because other studies became available recently on the same topic,4
drug manufacturer ceased operations,4
withdrawal of vaginal prosthesis from the market,4
"withdrawn in 2018 because clinicians did not folpoor protocols, issues with communication and also with tablet processing, nearby ebola outbreak in 2018 (in the n kivu area) confounded efforts",4
feasibility issues with the study treatment (in-person cbt) resulted in the study ending earlier than anticipated,4
one treatment policy showed an advantage at a very high significance level,2
corporation decision,4
study never approved,4
"profissional reasons, not related with the study",4
repositioning of target indication,4
the study was terminated before the primary endpoint (determination of mtd) was reached because the opc form is to be replaced with the newly developed capsule form in all subsequent clinical trials,4
interim data was sufficient for study purpose,4
fda recommendation,4
lead site preference,4
the study was terminated early due to sponsors decision,4
didn't receive irb approval,4
the study was closed due to investigator discretion based on the poor perceived clinical activity observed in the study,4
temporary closure per protocol design,4
inconsistent results in pilot phase,4
a re-evaluation of research risks to participants were greater than originally anticipated,3
due to the company's intent to conduct a new study under a different protocol with the smart+ system which is a more advanced version of the smart system,4
principal investigator not available anymore (sabbatical),4
there was a change in the strategy to complete the rmp with ha,4
"due to supply constraints & prioritization according to medical need (availability of alternative rabies vaccines), rabipur will no longer be supplied to china",4
failure rate 91.1%,2
medi-551 removed from oncology by pharmaceutical company due to change in research target,4
to focus on strident intervention studies as this study population is heterogenous,4
on hold pending amendment approval,4
expected technology was not available,4
the study was never approved by ctep neither was it ever activated,4
decided to stop drug development,4
principal investigator took another position elsewhere,4
"cfda announced xi'an risperdal as reference drug, no need for this be trial from both scientific and ethical perspective",4
"interim analysis suggested that the trial, as designed, was not adequately powered to detect a therapeutic effect",2
changes in standard of care have altered the feasibility of the study,4
the study has been registed in chictr and apply for withdrawing,4
study was never initiated due to contracting issues,4
suspended development,4
project was withdrawn and never began at loyola university medical center,4
priortization of other programs,4
competing study to be started in november 2018,4
"after careful consideration, ucb has decided to no longer pursue pnh as a potential indication for zilucoplan",4
"non compliance from sponsor regarding applicable documentation to proceed with trial, therefore decision to permanently halt trial",4
the pilot study (before the intervention) is completed,4
pi decision not to move forward with study,4
we never started the study,4
irb approval terminated,4
imp no longer available,4
iterim analysis did not detect a clinically meaningful change in the primary endpoint,2
strategic adjustment,4
inadequate data analysis,4
"advised by dsmb based on interim-analysis, highly significant difference",2
fda hold for combination studies using imids and pd1/pdl1 compounds,4
we have not succeeded in developing an approach that uses hdeeg to control a communication interface at an accuracy needed to complete the protocol,4
the decision to terminate clinical development of pf-07081532 is based on pharmacokinetic data from phase 1 drug-drug-interaction studies and laboratory measurements of elevated transaminases in these phase 1 studies as well as a phase 2 study,3
principal investigator is making changes to the protocol,4
one of the investigators went abroad,4
standard clinical practice at site caused unforeseen issues for the use of the acm,4
"development of gtb-3550 halted due to development of the second generation camelid nanobody trike drug product, gtb-3650",4
study never started/ will not proceed,4
"due to a change in surgical personnel, the operative technique changed, precluding the examination of bypass-related bi-hemispheric saturation differences",4
other - drug manufacturer decision to close study,4
insufficient caregiver participation,1
due to not achieving the primary outcome,2
the participating party (rush) stopped the study because of logistic issues,4
discontinuation of production of imp,4
device development placed on hold,4
limitations in timing and personnel,4
investigator decided not to pursue the study due to other competing studies,4
did not pursue study,4
the student leading the project decided not to continue,4
results interim-analysis,4
staffing changes at site. no longer feasible at site,4
it is no longer practicable to complete the trial,4
delayed initiation,4
the study was terminated due to not enough power and research staff assistance,4
pi confirmed this study was withdrawn and did not begin locally,4
"pi unexpectedly passed away, study closed",3
bioresorbable scaffold is not available in south korea,4
pi's discretion due to needing to modify study protocol,4
refusal by the ethics committee,4
study team submitted iras form and the ethic committee advised that this pilot study is more service evaluation and no rec ethical approval was required,4
no eligible participants for the rct were found,1
care coordinators graduated,4
abbott received fda approval to transition the ongoing brady mri pas study to ep a new ep-passion real world evidence methodology,4
aspirin added to chemoradiotherapy was safe but did not improve response to total neoadjuvant treatment. the study was closed due absence of benefit,2
investigator terminated trial pursuant to research contract rights,4
due to the fact data results were statistically significant among the two groups,3
application to ca withdrawn due to technical reasons of the manufacturer,4
the study closed because of shifting research priorities and interests,4
not approved by sponsor,4
determined feasibility was needed before conducting this trial,4
the study was stopped early as it was determined there would not be a statistically significant treatment effect associated with the primary endpoint due to the poor number of events,2
"the sponsor has been notified of an interruption in the international supply, and there is a possibility that 131i-mlbg would be unavailable to patients randomised to arm a of the trial",4
the study stopped because the the project was abandoned,4
nih decision,4
due to the pandemic and the nature of this study we decided to terminate this study,4
to prioritize other programs,4
manufacturing issues,4
no longer target indication,4
the study was terminated folpooring an internal review of the company's research and development portfolio,4
due to negative results in similar trials using 11c-ucb-j,4
study modified to a two-group crossover design and transferred to new location,4
logistical problems meant that the study was no longer feasible,4
investigator decided not to go forward with the trial,4
dsmb suggestion,4
study technology decommissioned at clinical site,4
"due to ""early stopping rule"" as defined in the study protocol",4
investigator retierment,4
departure of one of the investigator,4
study team decided not to move forward with study,4
per research hold,4
post market study terminated early due to the launch and subsequent incorporation of the study into the terumo aortic endovascular registry (tiger-001),4
this is a sub-study of another one,4
procedure has become standard of care - protocol is no longer necessary,4
inclusions was stopped at 30 patients. investigators did not wish to extend inclusions,4
principal investigator was unable to pursue research further due to time constraints,4
"unfavourable ethical opinion, principally on grounds of inadequate sample size",1
phase i analysis,2
"as similar local evidence recently available, present study will not add new information; no ethical justification exists to continue study procedures",4
absence of breg lymphocytes in peritoneum,3
stopped by the sponsor due to their change in product development priorities,4
study has been withdrawn from irb review pending ind revision,4
the phase ii portion was never started as we could no longer get the drug from the manufacturer,4
"study design change required protocol/icf changes, deemed more appropriate to terminate study and apply knowledge gained to potential future study design",4
investigator judged that this study can not be maintained because participant registration rate is poor,1
primary investigator passed away,4
because the study had to be redesigned and restarted as clinical device study,4
no subcontractors for management of connected watches,4
difficulties in field coordination,4
"fda approved embospheres for prostate embolization, so ide not needed",4
grantor closed study,4
"trial stopped: a sae has occured. as a measure of precaution, the trial has been stopped",3
completion of study in orig timeframe not feasible considering evolving treatments for mm in us,4
pi confirmed that this is not a clinical trial and was inadvertently entered in the system,4
poor adherence rate; need to revise online interventions,4
principal investigator determination,3
the incidence of aes was higher than the ib reported,4
study stopped early as az have re-prioritised to focus on research to help bring existing and innovative medicines to more patients with asthma and copd,4
due to the unavailability of the subjects who gave the consent to participate to the study protocol,1
reevaluating protocol based on preliminary data,4
study will not be conducted due to changes related to the investigational agent,4
terminated due to surgeon preferences,4
sponsor cancelled the study as real life impact data has already shown the value of hepa vaccination & as no critical need to gather additional data in israel,4
mitochondrial respiration measurement technique faulty,4
the supply of ip is disrupted,4
"pi no longer available, not able to find replacement. 2 patients, lost to folpoor-up",1
revisiting the availability of patients with ph+ all that would meet the in-/exclusion criteria of the study led to the decision not to move forward,1
we gave up,4
the actions and measures to be taken to restart the trial could not be implemented which made the premature termination inevitability,4
sponsor will amend study design by incorporating reconfirmation of coagulopathy folpooring discussion with fda regarding findings from scarlet1 study,4
evusheld is being re-formulated to protect against all strains of sars-cov 2,4
study terminated early as a result of the outcome of the pre-planned interim analysis,2
we are waiting for the additional founds,4
grant not approved,4
due to competing studies,4
investigator stopped study,4
converted from a pilot into a larger study which we will enter as a new protocol,4
unable to obtain fda exemption,4
study terminated by sponsor for commercial reasons,4
poor interest and support,4
the study direction does not longer aligns the sponsor's strategy,4
study drug supply issue,4
the principal investigator is leaving yale university and will not be continuing the work at her new institution,4
stop trial due to proposals for possible optimizations of the device by the investigators,4
due to sponsor's ongoing and upcoming projects and overall research priorities,4
pi recommended closure,4
insufficient resources for performance of project,4
merged irb study created,4
one of the study products is no longer available for clinical trial use,4
unforeseen cost restrictions of the drug halted the execution of this study altogether,4
sponsor was not financially able or willing to continue to support the study,4
clinic management decided to cancel the study for priority reasons,4
investigateur decision,4
study design will be reformulated,4
study was discontinued in 2018 as sufficient sample size was not met,1
suspended since april 2020 as the application is temporarily unavailable,4
sponsor asked site to suspend study,4
study was stopped early due to a greater than expected incidence of ocular aes and analysis of the data from the first 4 subjects indicating that the likelihood of permanent remission with this therapy was poor,3
temporarily paused per study team for interim data review,4
ct-p27 2.2 is inactivated,4
study terminated due to poor probability of achieving a positive outcome on the primary endpoint,2
irb haulted the study there was no evidence that the probiotic would benefit the patient,4
due to the delay in establishing fda regulations for over-the-counter hearing aids,4
personal reasons,4
pi decision to close study early,4
vector has not been produced,4
continued randomization was questioned on ethical grounds after the who ikmc study reported mortality reduction in may 2021. the dsmb recommended to stop the trial after reviewing a preliminary data analysis because of benefit of the intervention,3
study drug out of specification,3
shortstaff at sleep lab,4
the study was terminated because of difficulty in completing the study as originally planned,1
need improve the strategy,4
united neuroscience has decided to terminate v203-ad-ext study based on a treatment assignment error,4
no viable sites,4
protocol re-design required folpooring eu phase iii results,1
due to new insights,4
"there is a poor potential study participants at our study site that would meet inclusion criteria, therefore, the study is not feasible and is being terminated",1
unable to accrue in subjects in a timely fashion,1
transfer of study sponsor,4
nhlbi has suggested the company focus on the other two ongoing trials,4
site resources,4
decision of the pi,4
ethics committee concerns,4
inability to include subjects on schedule,1
due to corona pandemic crisis,4
"product not available, study withdrawn",4
impossible to involve a sufficient number of centers in the study,1
the dm production has been stopped,4
the ed physicians no longer prescribe opioids at discharge; not feasible to conduct the study,4
decision by sponsor not to continue with the trial,4
by merck,4
device has been fda approved,4
resolving database issues,4
failure to accrue subjects. all activity has stopped & no analysis will be done on what has been collected,1
decided not to perform the pilot phase,4
principal investigator wishes to revisit design and start a new study,4
camera for study is being repaired,4
investigator decided to withdraw the study,4
"as last patient last visit (lplv) took place on 15/02/2022, the trial was ended prematurely on this date in accordance with sakk/ci",4
combination of chemotherapy and immunotherapy is a new standard of care,4
principal investigator departure without possible replacement,4
study withdrawn for no sufficient fund support,4
the study required more participants than anticipated for statistical significance,1
poor sufficient personnel to run this study's research visits,4
parastomal parietex withdrawn from market by the manufacturer,4
interim analysis of the data was not supportive of continuing the study,2
staffing for study was eliminated,4
registered and published incorrectly,4
futile,2
paused for interim analysis and consideration of protocol changes,4
insufficient staffing,4
due to required changes in methods,4
analysis of first 10 participants showed the technique was not efficacious,2
study considered futile,2
pi confirmed that this not a clinical trial and was inadvertently entered in the system,4
competing study was opened by the surgeon after this trial was opened,4
bankruptcy app owner,4
change in study design and sponsor,4
fda released fresenius kabi from this post marketing requirement on 07/16/2019,4
insufficient recrutement in the study,1
need more time to optimize the sensor,4
at sponsor's discretion : the purpose of study is no longer maintained,4
poor available resources to complete study,4
study director job transfer in another departement,4
techincal reasons,4
access to the devices was halted by the sponsor,4
pi decided to not proceed with study,4
the study was terminated due to logistical reasons,4
"because of the difficulty of research operation, we changed to another research design",4
sponsor has discontinued the development of emricasan,4
a device would have had to be maintained. the maintenance company is insolvent; both another maintenance company and another serviced device were not available,4
investigator decided not to proceed in australia at this stage,4
risk-benefit analysis,3
gs-9131 did not meet the targeted antiviral response,2
unable to execute internal logistics,4
corporate decision to terminate study after lead-in portion of the study completed,4
protocol amendment pending,4
difficulty in setting up the study in the investigator site,4
the therapeutic effect was not as expected,2
seeking research grant support,4
the principal investigator decide to stop the sudy,4
short of euqitments,4
our center had adopted a new detection method for anti-pla2r antibodies in all membranous nephropathy patients,4
sponosor's decision,4
alternative data published,4
phd student stopped working on this project,4
study was not accruing,1
the study was withdrawn because of too few eligible participants,1
study drug is now commercially available in tablet format,4
change in investigational drug service policies resulting in the need to change the operational design of the overall protocol,4
this feasibility study only accrued one patient since site activation. we believe that the primary reason for this is poor patient motivation to go on study and wear the device. we attempted to broaden this study to partner sites without success,1
extended study timelines and additional budget could no longer be supported,4
interim analysis provided enough data,4
on completion of part 1 it was felt that there would be no benefit in completing part 2,4
"due to staff departure, study is being discontinued per allocation of resources",4
contractual issues have halted study set up,4
the post graduated student change her project,4
funder and imp manufacturer withdrew support,4
poor interest in pool of potential participants,1
"per amgen regulatory and study team, the study can move forward with the close out activities for the pk study since all ongoing subjects have completed based",4
due to changing methodology of the study,4
encountered technical issues with blood plasma samples received from the hospital,4
pi moved to another institution and closed the study,4
pi changed subspecialties and no longer had access to main study population,4
the study was terminated prematurely due to fudr production halt in china,4
study drug not available in time,4
"never irb approved, no intention to proceed with the study",4
sponsor chose to change the study design,4
delay during study initiation. change of mitraclip design in meantime,4
the clinical trial is terminated after the completion of phase i without moving to phase ii,4
mutual termination,4
reduction in available resources,4
decision made to develop different intervention,4
pi obtained outside employment that was not compatible with this award,4
insufficient resources to complete study requirements,4
rybelsus® was not launched in germany during the planned duration of nn9924-4540 study,4
unrealizable wishes of national authorities,4
no patient ongoing (none completed the study). changes to the viral vector ongoing,1
pi was unable to continue to gather data during the trip during to medical illness,4
the study is on-hold until updated device to be released to the market,4
"trial not started; change in sponsor, a new trial to be registered by the new sponsor",4
significative difference between percentage of renal response (primary outcome) between the two study arms,2
the study stoped becaus it did not even start no willing from our colleagues,4
due to cart processing facility construction,4
a change in sponsor's developmental strategy,4
study lost access to ecgi,4
"difficulties to sign a contract with the hospital, due to logistic changes in the hospital",4
unable to quantify caffeine,4
unable to use manometry lab,4
the study interest was reached,4
funds for the study expired,4
this study was terminated early because of shortage of supplies with no foreseeable future of when they will be back in stock,4
"two step study, step two was not feasible based on results from phase one",2
change of company's priority; learning from a separate ct-101-cls-001 (nct04857515) is deemed sufficient,4
bioinceptdecided not to pursue this drug target at this time,4
bioincept changed the focus of future drug development,4
the study team experienced technology challenges with the digital platform used to deliver the intervention and to collect data. data collection surveys would be automatically sent to participants before participants completed intervention modules,4
service provider challenges precluded intervention delivery,4
"given the design of the study, we reached saturation with a sample of 16",4
the sponsor decided not to continue the study based on the overall company strategy in aml,4
study could not be run for logistical reasons,4
to optimize device,4
nda #210565 did not trigger the need for a pediatric research equity act study,4
due to thrombosis,3
parent study (nct05121480) did not meet the primary endpoint,2
fda withdrew eua for azd7442,4
excessive dropout,1
no eligible participants identified,1
"pi, dr. josh gaston, left the institution and the study has been stopped",4
fda contingencies unresolved,4
"after interim statistical analysis, a statistician reccommended to stop study, because results are significant and in favour of poc approach",2
fda released allergan from this post marketing requirement,4
interim analysis proved that protocol intervention had no preventive effect,2
due to the fact that the sponsor decided not to move forward with the development of m7824,4
dissolution of the research team,4
study halted prematurely,4
"per regulatory coordinator, the sponsor is no longer supporting the study",4
study was terminated by the irb due to continued noncompliance,4
program reprioritization,4
resident working on this study left our department,4
pilot data suggested the paradigm would need significant revision,4
the paclitaxel-albumin halt production,4
12-month assessment process has been stopped prematurely due to logistic reasons,4
researchers go abroad to study,4
the trial was terminated as the participant withdrew from the trial,1
study halted permanently and will not resume; participants are no longer being examined or receiving intervention,4
feasibility objectives were obtained,2
pi accepted a position at a new institution and terminated the study at uic,4
injection site reaction burden,3
study never started up at site,4
sponsor has suspended study to conserve capital for clinical development of lead asset,4
budgetary constraints,4
delays in irb approval and interval start of a competing study,4
supply issues from sponsor,4
software update needed,4
novartis has chosen to withdraw support for this trial,4
due to a strategic reprioritization based on the rapidly changing clinical and commercial landscape for bruton's tyrosine kinase inhibitors (btk inhibitors),4
site decided not to continue,4
trial may move forward as an nci-sponsored trial and not an investigator initiated trial,4
key study team members working on the study are leaving the institution,4
result summarized and published,4
sponsor shift in focus,4
"the biopsies in the first 5 screened patients were all negative for globo-h, of which positive is required to include the patients",1
study aborted,4
"with the pandemic, we needed to take a 15 month pause in between earlier rcts. this rct no longer made sense to conduct",4
did not have time to complete this study,4
principal investigator (dr. peiris) is retiring,4
only 5 caregivers decided to participate,1
institutional conflict of interest,4
change in study design to quality improvement,4
withdrawn-was not approved by irb,4
budgetary and timing constraints,4
change in procedure means limited value for study question,4
because bone osteointegration is completed,4
terms could not be met with the fda,4
the study was not deemed feasible to conduct,4
decision not to proceed with study,4
abandoned research,4
additional in-house analysis and development,4
study terminated by pharmaceutical company,4
sponsor withdrawing the subject ind,4
laboratory ungal,4
"on 12/16/19, a termination request was sent to cms to end kentucky health by the new administration",4
"based on idmc's recommendations during the interim analysis""the trial has reached the goal of early termination of the trial"". the sponsor communicating with cde, cde agreed to unblind the trial and submit a nda",2
temporary protocol lapse,4
this study was terminated due to the released lenses not representing what will be made commercially available and thus the objectives could not be met,4
organisation issues,4
study originally suspended pending a protocol amendment but study now terminated,4
study protocol under revision,4
study stopped due to change in strategy,4
the clinical investigation improve-2 has been closed after a decision by the swedish medical products agency,4
the study was stopped as per ema waiver granted on 20july2018,4
study halted according to the sponsor's descision,4
this trial will open as an nctn trial,4
ec withdrawal with termination of the nb contract,4
the number of subjects in this study was overestimated in the initial assessment,1
unexpected histological findings,4
stopped after interim analysis,2
due to personnel and organizational issues,4
limited clinical capacity,4
ind inactive status,4
the study was terminated based on its primary and secondary outcome measures in three consecutive patients,2
study medication could not be delivered by manufacturer,4
"because of the health crisis, organizational constraints and the poor medical and paramedical staff",4
project was never initiated,4
"dose-escalation was finished, but no clear correlation between fluorescence and tumor grade was established",4
company prioritization reasons,4
study is temporarily suspended pending a new ind application being requested by the fda,4
terminated due to poor alignment during regulatory negotiations,4
termination of project,4
both study pi's left the institution,4
similar study just got done,4
parallel iw-3718 phase iii trial did not meet pre-specified criteria,2
"the primary evalution criteria had a so few occurrence that it has been a fundamental obstacle to randomize patient. the use of mecanical aide to cough is more widly employ, creating a second limitation",2
"outdated, progress in clinical practice",4
device problem and pandemic restrictions,3
end of support,4
"based on results of double-blind parts, it was determined that it would be difficult to submit a marketing authorization application for rta 402 for diabetic kidney disease",2
no longer pursuing development of serlopitant,4
"premature discontinuation of study, a strategic decision",4
overload costs,4
the study protocol was changed because of too few eligible participants. a registration with revised protocol can be found by clinicaltrials.gov id nct03681054,1
competing trial on same population,4
"poor eligible subjects, poor staffing",1
ran out of money,4
company's strategic decision,4
a correction needs to be made to the device's algorithm,4
loss of research capable staff,4
study stopped due to technical reasons,4
commercial reason,4
elected not to proceed with the study,4
"given the updated precautions on elmiron as well as the risk benefit profile, we have decided to terminate the study",4
withdrawn by drug manufacturer,4
terminated due to reprioritization,4
expiration of study product; end of study product availability,4
access to speedlyte product no longer available,4
tested mr sequence was inferior in preliminary evaluation,2
insufficient investigational product,4
prematurely stopped in agreement with authorities (fda),4
the study met a pre-defined protocol study stopping criteria,4
"due to coronavirus infection decrease in elective case list , also poor response from other centers",1
"study halted prematurely by sponsor and will not resume, participants are no longer being examined or receiving intervention",4
"given the extensive time projected to conclude the study hypothesis, it is no longer feasible to include this study of tp-0903",4
the second study arm including radio-frequency microneedling was withdrawn due to availability of newer treatment options,4
obi-888 no longer fulfills our goal of developing cost-effective therapies for cancer patients,4
the government of tamil nadu decided not to proceed with implementation of fortified rice through the public distribution (per the original study protocol),4
extensive changes to the watch design would be needed to produce a robust device,4
this study does not need to get a clinicaltrials number,4
barrel shaped interdental brush went out of production,4
decision not to continue to the expansion portion of the study,4
institutions issue,4
this study was stopped due to time and budgetary constraints,4
ossm-001 will not be used in this program moving forward,4
issues in supply of ip,4
adjustment of research plan,4
uacc-phx is no longer able to support the study and novartis is unable to provide drug beyond december 2019,4
the company that was contracted to conduct study specific testing was sold and new management chose to pursue interests other than cmv,4
change in medical practice on the management of the eligible population,4
design of the study device will be modified,4
preliminary analysis of data showed no significant findings,2
high sf rate (less treatment-naïve subjects & subjects with viral load <100000). reevaluation in scientific position in india after internal discussion,4
financial and method issues suggesting that study is not feasible,4
"per protocol, the sponsor could terminate the study once 300 participants completed a total of 28 weeks of treatment and 100 participants completed a total of 52 weeks",4
protocol with too many constraints. long protocol,4
sponsor/pi voluntarily paused and stopped study after observing several grade 2 and grade 3 redness local reactogenicity reactions at 10e8vls injection sites,3
program has been terminated,4
electronic questionnaires not being completed in a timely manner,1
temporarily paused while the mr center develops newer study techniques. we might resume; this is not a suspension of irb approval,4
"this is no longer considered a clinical trial as per the kantonial ethics committee in zurich, ch",4
terminated due to warning letters issued regarding paclitaxel,3
the parent trials did not meet the primary endpoints of reduction in motor and phonic tics,2
the decision to end the study was made for gsk portfolio reasons. no subjects were randomised into the study,4
"folpooring results of the primary progression-free survival analysis from study nct02755597, company-sponsored mm studies were placed on partial clinical hold (pch). sponsor did not pursue release of the pch for this study",2
technical problem with device in study,4
veteran's affairs research and development office delays,4
insufficient resources to implement intervention,1
device review performed by sponsor,4
closure of drexel university hahnemann hospital where referring physician worked,4
investigator departed from institution,1
study may continue,4
departure of the investigator from the chu grenoble alpes,4
study personnel diverted to other activities and the study was not commenced,4
"due to prohibitively high drug cost, physicians were not prescribing the drug",4
expired irb approval since 05/07/2020,4
refocusing of research priorities,4
